,Unnamed: 0,date,open,high,low,close,volume,adj close,dates,SMA_close,EMA_close,SMA_high,EMA_high,SMA_low,EMA_low,SMA_open,EMA_open,color,CRUP,CRDOWN,cancel
382,382,2012-01-03,28.940001,29.5,27.65,28.08,928100,28.08,2012-01-03,28.211249875,28.416952395436155,28.743749875,29.11544042323727,27.622499875,27.959987462314704,28.272500125,28.606412942313177,,,,
383,383,2012-01-04,28.209999,28.67,27.5,27.709999,630100,27.709999,2012-01-04,28.228749750000002,28.259851640894787,28.818749874999995,29.01645366251788,27.806249750000003,27.85776802624477,28.310000000000002,28.51832095513247,red,,,
384,384,2012-01-05,27.76,27.93,26.85,27.120001,1005500,27.120001,2012-01-05,28.147499875000005,28.006551498473723,28.80375,28.775019515291685,27.749999875,27.633819575968154,28.33,28.349805187325256,red,,,
385,385,2012-01-06,27.200001,27.790001,26.41,26.91,986300,26.91,2012-01-06,28.023749875,27.762873387701784,28.777500125,28.556126511893535,27.611249875,27.361859670197454,28.230000124999997,28.09429314569742,red,,,
386,386,2012-01-09,27.0,27.49,26.120001,27.25,897000,27.25,2012-01-09,27.858749875,27.648901523768053,28.617500125000003,28.319209509250527,27.421250125,27.085891076820243,28.147500125,27.851116891097995,blue,,,
387,387,2012-01-10,27.440001,27.76,27.25,27.620001,671800,27.620001,2012-01-10,27.7475,27.64247918515293,28.432500124999997,28.194940729417077,27.322499999999998,27.122359726415745,27.95375025,27.75975780418733,,True,,
388,388,2012-01-11,27.620001,28.379999,27.299999,28.23,672300,28.23,2012-01-11,27.685,27.773039366230055,28.3125,28.236064789546617,27.166249999999998,27.16183512054558,27.832500375000002,27.728700736590145,,True,,
389,389,2012-01-12,28.48,28.620001,27.809999,28.25,729300,28.25,2012-01-12,27.646250124999998,27.87903061817893,28.267500124999998,28.321383947425147,27.111249875,27.305871538202116,27.831250375,27.895656128459002,,,,
390,390,2012-01-13,28.4,28.5,22.639999,22.790001,5500400,22.790001,2012-01-13,26.985000249999995,26.748135147472503,28.142500124999998,28.361076403552893,26.48499975,26.2690109741572,27.76375025,28.007732544357,red,,,
391,391,2012-01-17,26.620001,27.34,26.41,26.6,4651600,26.6,2012-01-17,26.846250374999997,26.715216225811947,27.976250125,28.134170536096693,26.34874975,26.300341868788934,27.5650005,27.699347756722112,,,,
392,392,2012-01-18,26.690001,26.879999,26.25,26.809999,1260200,26.809999,2012-01-18,26.807500124999997,26.736279064520403,27.845,27.85546575029743,26.273749749999997,26.289154786835837,27.431250625,27.47504847745053,,,,
393,393,2012-01-19,27.190001,27.74,26.610001,26.76,1246300,26.76,2012-01-19,26.788750125,26.741550383515868,27.838749875,27.829806694675778,26.298749875000002,26.360453945316763,27.430000624999998,27.411704593572637,,,,
394,394,2012-01-20,26.9,27.0,26.4,26.6,662300,26.6,2012-01-20,26.707500125,26.710094742734565,27.777499875,27.64540520697005,26.333749750000003,26.369241957468592,27.417500625,27.297992461667604,,,,
395,395,2012-01-23,26.809999,27.209999,26.6,26.77,594600,26.77,2012-01-23,26.60125,26.723407022126885,27.708749750000003,27.548648272087817,26.252499750000002,26.42052152247557,27.338750375,27.189549470185916,,,,
396,396,2012-01-24,26.629999,27.68,26.440001,27.42,858000,27.42,2012-01-24,26.5,26.878205461654243,27.621249875000004,27.57783754495719,26.145,26.42485029525878,27.215000125,27.065204921255713,,,,
397,397,2012-01-25,27.27,28.01,27.049999,27.969999,611200,27.969999,2012-01-25,26.464999875,27.1208262479533,27.54499975,27.673873646077816,26.049999999999997,26.563772229645718,27.063750125,27.110714938754445,green,,,
398,398,2012-01-26,28.07,29.58,28.0,28.940001,1271100,28.940001,2012-01-26,27.233749875000004,27.525087303963677,27.67999975,28.097457280282747,26.720000125,26.882933956391113,27.022500125,27.32388939680901,green,,,
399,399,2012-01-27,28.5,29.719999,28.5,29.33,748400,29.33,2012-01-27,27.574999875000003,27.92617901419397,27.977499624999997,28.45802210688658,26.981250124999995,27.242281966081975,27.2575,27.58524730862923,green,,,
400,400,2012-01-30,29.49,29.610001,28.530001,29.57,729000,29.57,2012-01-30,27.919999999999995,28.29147256659531,28.318749874999998,28.714017416467343,27.266250250000002,27.528441751397093,27.607499875000002,28.008525684489403,green,,,
401,401,2012-01-31,29.9,30.0,28.870001,29.07,956400,29.07,2012-01-31,28.208750000000002,28.464478662907464,28.601249875,28.999791323919045,27.54875025,27.826566028864406,27.94624975,28.428853310158424,green,,,
