,date,low,high,open,close,volume
97,2017-04-23,15.22,17.35350001,15.49969996,16.64431657,6451909.900595048
98,2017-04-24,15.1000001,16.72753815,16.72753815,16.17496215,3104836.80835781
99,2017-04-25,15.3925,16.99,16.20100001,16.65886935,1885396.38352925
100,2017-04-26,15.9,17.24069981,16.65886935,16.26,3126729.12451669
101,2017-04-27,14.17390042,16.37949745,16.2330002,15.99990003,3744746.5564335003
102,2017-04-28,15.10000201,16.0400571,15.99990003,15.47,1364498.50718119
103,2017-04-29,15.35237888,17.0,15.47564221,16.9225,1923338.4382855
104,2017-04-30,16.58,17.5,16.92256397,16.82261491,1614004.4644825303
105,2017-05-01,16.10200001,17.64,16.83,17.250845,3102289.75837393
106,2017-05-02,16.55,17.79999999,17.16396081,17.25,1265638.70419963
107,2017-05-03,17.01000115,23.94417719,17.1995809,22.87000029,8189456.7938114
108,2017-05-04,21.69724131,26.6,22.9969104,24.81776491,8492273.62540824
109,2017-05-05,23.60622877,29.5,24.81776484,26.186,8838222.04889267
110,2017-05-06,26.00001716,30.86750963,26.186,28.72230135,4365218.19144941
111,2017-05-07,28.66,32.5198133,28.74659995,30.84040239,6078979.84931499
112,2017-05-08,26.95,31.07062823,30.9,28.7268921,4264249.9050311
113,2017-05-09,23.64000022,35.0,28.72319268,34.00000001,6401423.48778593
114,2017-05-10,30.855,39.18542802,34.00000001,32.22099592,10398038.79812568
115,2017-05-11,28.04479394,34.0946361,32.20818848,31.0001,5474825.11106039
116,2017-05-12,27.01,31.9643148,31.04283803,27.75990996,3211123.8672298198
117,2017-05-13,25.5,29.5,27.75990996,29.40550677,2219273.95756792
118,2017-05-14,27.8,31.1,29.4,29.16629877,2110048.8348221
119,2017-05-15,25.42388782,29.42608937,29.1535,25.80000001,3029595.8837112198
120,2017-05-16,23.2,25.9901,25.80000001,23.84999994,4983200.47434273
121,2017-05-17,20.77,27.09999999,23.84999984,26.03960078,4824278.44258786
122,2017-05-18,25.41000004,29.9,26.03960078,29.02157557,4054541.4454380004
123,2017-05-19,26.2,29.32543392,29.1362529,27.32394874,2805774.5885630003
124,2017-05-20,26.89451889,27.89999999,27.28406797,27.27385078,1321943.24426403
125,2017-05-21,25.2,28.899,27.37714914,25.65,2719709.40581191
126,2017-05-22,21.72182322,26.139555,25.66599999,24.17999998,3162615.0403307
127,2017-05-23,23.15249999,31.0,23.90000001,30.75,4350188.41790122
